플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,lynz 린지,1198.8,1292,1858,493,36.7,7,2.5068119891008176,92
SOOP,저맨,1200.8,1292,1220,1136,4.8,7,4.666666666666667,22.4
치지직,탬퍼,1201.6,702,1691,962,10.1,13,3,30.3
치지직,GongTan,1203.6,1166,1263,1163,4.7,8,4.48936170212766,21.1
치지직,희샤,1203.8,1055,902,1580,1.7,9,6.529411764705882,11.1
치지직,김빵선,1204.6,843,662,1928,0.7,11,8.714285714285714,6.1
치지직,비비v,1206,1166,1022,1410,2.5,8,5.76,14.4
치지직,장기선생님,1206,1292,1443,926,8.7,7,3.8160919540229883,33.2
SOOP,김종국국,1206.4,1890,1856,215,96.2,4,2.508316008316008,241.3
치지직,문레인,1207.6,940,722,1827,0.9,10,8.11111111111111,7.3
씨미,곰취,1208.8,940,644,1908,0.7,10,9,6.3
SOOP,소금김밥,1211.2,1166,1185,1260,3.8,8,4.842105263157895,18.4
치지직,양넴,1211.6,1166,1168,1278,3.6,8,4.972222222222222,17.9
치지직,유덕심,1211.8,1055,1031,1471,2.3,9,5.739130434782608,13.2
치지직,이츠dlcm,1215.6,940,891,1678,1.4,10,6.642857142857143,9.3
치지직,우솦,1217,1055,885,1630,1.5,9,6.666666666666667,10
치지직,챗승,1221.6,1166,1629,842,12.4,8,3.2096774193548385,39.8
SOOP,카스퍼,1221.8,1473,1669,649,19.4,6,3.0876288659793816,59.9
치지직,즘띠,1223.6,1166,920,1556,1.8,8,6.444444444444445,11.6
SOOP,김강생1,1224.8,1890,1506,611,18.3,4,3.622950819672131,66.3
치지직,백제,1225.2,1166,1554,926,9.5,8,3.4947368421052634,33.2
치지직,촠바,1225.2,1292,1409,1008,7,7,3.942857142857143,27.6
치지직,김칸타,1225.2,646,428,2312,0.2,14,13,2.6
SOOP,서납,1225.6,940,994,1600,1.8,10,5.944444444444445,10.7
치지직,유도리카,1225.6,940,994,1600,1.8,10,5.944444444444445,10.7
치지직,집에갈까,1226,1166,1285,1197,4.6,8,4.391304347826087,20.2
SOOP,징가_,1226.8,1292,1077,1344,2.9,7,5.448275862068965,15.8
치지직,반호,1227.2,1166,1521,964,8.4,8,3.5833333333333335,30.1
치지직,아라비아Arabia,1229.6,940,1122,1482,2.5,10,5.2,13
SOOP,경환이님,1231.2,1166,868,1627,1.5,8,6.733333333333333,10.1
치지직,태굴잉,1235.4,1055,1255,1306,3.8,9,4.526315789473684,17.2
SOOP,하파,1235.8,1667,1565,691,15.8,5,3.449367088607595,54.5
SOOP,고보미,1236,1890,1595,550,24.2,4,3.3388429752066116,80.8
